x,u,V,T,Lambda,H2,H,O,O2,OH,H2O,HO2,H2O2,C,CH,CH2,CH2(S),CH3,CH4,CO,CO2,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,HCCOH,N,NH,NH2,NH3,NNH,NO,NO2,N2O,HNO,CN,HCN,H2CN,HCNN,HCNO,HOCN,HNCO,NCO,N2,AR,C3H7,C3H8,CH2CHO,CH3CHO,Z
0.104082,0.00438856,0.547408,1794.27,-0.076951,0.00788325,4.26303e-06,4.49915e-09,9.82376e-09,7.9896e-06,0.120334,4.72252e-12,1.66198e-11,4.53547e-11,2.20048e-10,7.43248e-08,2.56776e-09,5.86139e-05,0.00288321,0.0960452,0.0691542,1.07191e-08,2.07851e-06,6.00167e-09,1.61803e-10,4.425e-07,4.50881e-08,0.00508347,1.09477e-07,2.74344e-05,2.90163e-08,1.544e-06,1.00724e-07,1.29757e-05,4.57113e-06,9.42068e-10,5.85861e-09,1.32023e-07,4.86266e-05,1.54643e-10,6.6736e-05,4.87869e-11,3.20281e-08,5.65643e-09,1.11097e-09,9.18186e-05,3.9229e-11,1.23987e-12,1.16e-07,3.02555e-08,4.17002e-06,1.16054e-09,0.698276,8.91773e-06,1.72948e-12,1.73481e-10,1.15773e-10,7.18477e-10,0.572563
0.105102,0.00330976,0.547653,1822.44,-0.076951,0.00744207,5.21965e-06,8.47512e-09,1.71639e-08,1.11164e-05,0.121021,8.68941e-12,2.58568e-11,8.48774e-11,3.54476e-10,9.39502e-08,3.39815e-09,5.67683e-05,0.00215778,0.0944607,0.0703454,1.2755e-08,2.20684e-06,7.44028e-09,2.00392e-10,4.19337e-07,5.22767e-08,0.0040378,9.14549e-08,1.81078e-05,2.50382e-08,9.94936e-07,1.21989e-07,1.18664e-05,4.34145e-06,1.47767e-09,8.01668e-09,1.63803e-07,4.57628e-05,1.95296e-10,8.38344e-05,7.99522e-11,4.14147e-08,7.87883e-09,1.53355e-09,8.99313e-05,4.4112e-11,1.76202e-12,1.44857e-07,3.53602e-08,4.4607e-06,1.65539e-09,0.700191,8.66848e-06,1.17711e-12,9.91501e-11,1.10728e-10,5.58901e-10,0.556559
0.106122,0.00222022,0.54743,1852.07,-0.076951,0.00695755,6.35452e-06,1.6156e-08,3.34392e-08,1.5557e-05,0.121791,1.66085e-11,4.05681e-11,1.53836e-10,5.53022e-10,1.15067e-07,4.35992e-09,5.30711e-05,0.0015531,0.092359,0.0718353,1.49699e-08,2.29181e-06,8.9758e-09,2.41812e-10,3.85208e-07,5.79721e-08,0.00304886,7.19991e-08,1.12655e-05,2.02256e-08,5.94095e-07,1.43494e-07,1.04186e-05,3.96901e-06,2.27959e-09,1.0653e-08,1.9743e-07,4.16749e-05,2.45439e-10,0.000105763,1.33469e-10,5.22961e-08,1.07308e-08,2.07951e-09,8.6066e-05,4.84514e-11,2.42077e-12,1.77289e-07,4.08655e-08,4.67383e-06,2.32448e-09,0.702104,8.4195e-06,7.50785e-13,5.09108e-11,1.00848e-10,4.18028e-10,0.540574
0.107143,0.00112051,0.546738,1883.14,-0.076951,0.00642806,7.66332e-06,3.09921e-08,6.76624e-08,2.1858e-05,0.122654,3.22579e-11,6.40153e-11,2.64681e-10,8.20736e-10,1.34445e-07,5.33867e-09,4.72433e-05,0.00106232,0.0896201,0.0737039,1.71371e-08,2.30062e-06,1.03805e-08,2.80276e-10,3.38828e-07,6.04985e-08,0.00215781,5.2414e-08,6.4777e-06,1.48926e-08,3.20548e-07,1.61666e-07,8.66163e-06,3.44974e-06,3.40271e-09,1.35607e-08,2.28299e-07,3.63324e-05,3.05798e-10,0.000133479,2.26283e-10,6.35917e-08,1.4138e-08,2.73837e-09,7.97188e-05,5.11328e-11,3.1603e-12,2.09569e-07,4.63305e-08,4.75028e-06,3.17811e-09,0.704012,8.17111e-06,4.3277e-13,2.26135e-11,8.60089e-11,2.97915e-10,0.524626
0.108163,1.15091e-05,0.545579,1915.62,-0.076951,0.005853,9.11782e-06,5.94819e-08,1.40859e-07,3.07857e-05,0.123613,6.33328e-11,1.01404e-10,4.20952e-10,1.13081e-09,1.466e-07,6.10192e-09,3.92363e-05,0.000677497,0.0861186,0.0760446,1.8836e-08,2.19161e-06,1.12632e-08,3.0564e-10,2.80039e-07,5.8191e-08,0.00140446,3.43721e-08,3.33802e-06,9.60275e-09,1.50318e-07,1.71124e-07,6.69035e-06,2.80346e-06,4.8217e-09,1.62699e-08,2.49249e-07,2.98834e-05,3.76178e-10,0.000167703,3.88222e-10,7.31901e-08,1.78101e-08,3.44786e-09,7.04818e-05,5.05738e-11,3.82878e-12,2.34288e-07,5.09266e-08,4.61819e-06,4.16932e-09,0.705912,7.92357e-06,2.12564e-13,8.19973e-12,6.71667e-11,1.98845e-10,0.508733
0.109184,-0.00110558,0.543954,1949.49,-0.076951,0.00523433,1.06793e-05,1.14073e-07,3.04285e-07,4.35009e-05,0.124651,1.26158e-10,1.61744e-10,6.00408e-10,1.40409e-09,1.44863e-07,6.32039e-09,2.94958e-05,0.000390477,0.0817399,0.0789649,1.95004e-08,1.92661e-06,1.11374e-08,3.04932e-10,2.11382e-07,5.02838e-08,0.000818785,1.96196e-08,1.46933e-06,5.1088e-09,5.77395e-08,1.66145e-07,4.68126e-06,2.08066e-06,6.36396e-09,1.8085e-08,2.51839e-07,2.27058e-05,4.55859e-10,0.000208576,6.71424e-10,7.81549e-08,2.12244e-08,4.07144e-09,5.82943e-05,4.53414e-11,4.18152e-12,2.40571e-07,5.33327e-08,4.20681e-06,5.15173e-09,0.707804,7.67711e-06,8.13499e-14,2.22353e-12,4.67401e-11,1.2016e-10,0.492908
0.110204,-0.00222934,0.541871,1984.67,-0.076951,0.00457875,1.24261e-05,2.23657e-07,7.0619e-07,6.24447e-05,0.12572,2.63333e-10,2.6674e-10,7.59468e-10,1.53865e-09,1.25672e-07,5.74928e-09,1.92117e-05,0.000192362,0.0764057,0.0825802,1.87976e-08,1.50233e-06,9.73154e-09,2.70413e-10,1.39933e-07,3.7956e-08,0.000410505,9.37726e-09,5.13105e-07,2.05736e-09,1.66247e-08,1.4494e-07,2.8769e-06,1.35837e-06,7.78541e-09,1.84458e-08,2.30378e-07,1.53932e-05,5.49104e-10,0.000255222,1.16823e-09,7.59307e-08,2.38576e-08,4.43341e-09,4.37862e-05,3.55988e-11,4.03339e-12,2.18067e-07,5.18091e-08,3.47763e-06,5.89365e-09,0.709684,7.43191e-06,2.13407e-14,3.95832e-13,2.83623e-11,6.21077e-11,0.477166
0.111224,-0.00335803,0.539337,2020.91,-0.076951,0.00389906,1.49766e-05,4.90652e-07,1.89316e-06,9.52718e-05,0.126732,6.38606e-10,4.97643e-10,8.96633e-10,1.5077e-09,9.29744e-08,4.46829e-09,1.00894e-05,7.22995e-05,0.0700919,0.0870088,1.72235e-08,9.78718e-07,7.31731e-09,2.08548e-10,7.62136e-08,2.42652e-08,0.000163996,3.60946e-09,1.25879e-07,5.43519e-10,3.08586e-09,1.12937e-07,1.49359e-06,7.25051e-07,9.12681e-09,1.74665e-08,1.86374e-07,8.69744e-06,6.85284e-10,0.000305435,2.05709e-09,6.60405e-08,2.56446e-08,4.44658e-09,2.8511e-05,2.38937e-11,3.48095e-12,1.64151e-07,4.46785e-08,2.47164e-06,6.22439e-09,0.711552,7.18815e-06,3.11902e-15,3.70463e-14,1.50579e-11,2.52311e-11,0.461515
0.112245,-0.00448931,0.536362,2057.6,-0.076951,0.00321388,1.96879e-05,1.3477e-06,6.17101e-06,0.000163236,0.127552,2.02914e-09,1.16511e-09,9.50946e-10,1.22583e-09,5.17127e-08,2.61979e-09,3.55803e-06,1.64644e-05,0.0628195,0.0923702,1.53517e-08,4.55116e-07,4.17097e-09,1.23933e-10,2.87879e-08,1.18401e-08,4.45269e-05,1.01057e-09,1.74378e-08,6.52359e-11,2.54525e-10,7.24451e-08,5.85389e-07,2.70684e-07,1.03412e-08,1.50992e-08,1.23256e-07,3.58761e-06,9.32493e-10,0.000355533,3.71764e-09,4.96706e-08,2.64232e-08,4.00701e-09,1.48659e-05,1.29128e-11,2.49354e-12,8.87095e-08,3.16651e-08,1.37278e-06,5.92651e-09,0.713406,6.94601e-06,1.49249e-16,1.05109e-15,6.59278e-12,6.54115e-12,0.445969
0.113265,-0.00562036,0.532954,2094.05,-0.076951,0.00254952,2.65972e-05,4.16046e-06,2.26505e-05,0.000296912,0.128011,7.52761e-09,3.04643e-09,5.54537e-10,5.51047e-10,1.52583e-08,8.15872e-10,6.18945e-07,1.76805e-06,0.0546696,0.0987529,1.31547e-08,1.12291e-07,1.25639e-09,3.94595e-11,5.52769e-09,3.29902e-09,6.50193e-06,1.60202e-10,1.2042e-09,1.93614e-12,5.19054e-12,2.74765e-08,1.31359e-07,5.61049e-08,1.00149e-08,1.06171e-08,5.61505e-08,9.57703e-07,1.3028e-09,0.000401306,6.86829e-09,3.23631e-08,2.53814e-08,2.72266e-09,5.52584e-06,4.90878e-12,9.91023e-13,2.6545e-08,1.64975e-08,5.47883e-07,4.49766e-09,0.715242,6.70572e-06,1.03106e-18,4.16639e-18,1.7089e-12,7.8353e-13,0.430541
